id,relato_usuario,essencia_sugerida
1,"Tenho medo de andar de avião e do escuro",Mimulus
2,"Sinto uma angústia mas não sei explicar o motivo",Aspen
3,"Tenho pânico e terror noturno frequente",Rock Rose
4,"Não tenho mais esperanças que as coisas melhorem",Gorse
5,"Fico irritado com pessoas lentas",Impatiens
6,"Não consigo dizer não para meus amigos",Centaury
7,"Estou sempre sorrindo para esconder minha tristeza",Agrimony
8,"Faço tudo pela minha família e eles não me valorizam",Chicory
9,"Não consigo relaxar, preciso convencer todos das minhas ideias",Vervain
10,"Fico oscilando entre duas opções e não decido nada",Scleranthus
11,"Tenho pavor de altura e lugares altos",Mimulus
12,"Sinto um medo vago que não sei de onde vem",Aspen
13,"Fiquei paralisado de tanto terror no acidente",Rock Rose
14,"Já desisti de procurar uma cura",Gorse
15,"Odeio esperar em filas, sou muito apressado",Impatiens
16,"Sou capacho dos outros, faço tudo que pedem",Centaury
17,"Bebo para esquecer meus problemas e parecer feliz",Agrimony
18,"Ninguém cuida de mim como eu cuido deles",Chicory
19,"Fico indignado com injustiças e luto até o fim",Vervain
20,"Hoje quero uma coisa, amanhã quero outra",Scleranthus
21,"Tenho medo de ficar doente e ir ao médico",Mimulus
22,"Acordo com pressentimento ruim e tremores",Aspen
23,"Sinto que vou morrer de tanto pânico",Rock Rose
24,"Acho que nasci para sofrer e não tem jeito",Gorse
25,"Fico nervoso quando o computador trava",Impatiens
26,"Não sei negar favores, sou muito bonzinho",Centaury
27,"Odeio discussões, finjo que concordo para ter paz",Agrimony
28,"Só quero que meus filhos fiquem perto de mim",Chicory
29,"Sou fanático pelas minhas crenças e ideais",Vervain
30,"É uma tortura ter que escolher entre duas roupas",Scleranthus
31,"Tenho medo de aranhas e insetos",Mimulus
32,"Sinto arrepios e presença estranha no quarto",Aspen
33,"Acordo gritando de terror durante a noite",Rock Rose
34,"Perdi a fé de que vou me recuperar",Gorse
35,"Quero tudo para ontem, não tenho paciência",Impatiens
36,"Deixo minhas vontades de lado para agradar",Centaury
37,"Sou a alma da festa mas choro por dentro",Agrimony
38,"Organizo a vida de todo mundo e ninguém agradece",Chicory
39,"Não consigo desligar minha mente, estou sempre militando",Vervain
40,"Fico em cima do muro o tempo todo",Scleranthus
41,"Tenho medo de perder o emprego e ficar pobre",Mimulus
42,"Sinto que algo ruim vai acontecer com minha família",Aspen
43,"Fiquei cego e mudo de tanto medo na hora",Rock Rose
44,"Estou resignado com meu sofrimento crônico",Gorse
45,"Fico batendo o pé de nervoso com a demora",Impatiens
46,"Sou facilmente dominado por pessoas fortes",Centaury
47,"Uso drogas para fugir da realidade chata",Agrimony
48,"Me sinto magoada quando não seguem meus conselhos",Chicory
49,"Fico exausto de tanto tentar converter as pessoas",Vervain
50,"Minha instabilidade de humor me deixa tonta",Scleranthus
51,"Tenho medo de falar em público e travar",Mimulus
52,"Tenho medo de fantasmas e espíritos",Aspen
53,"Entro em choque em situações de emergência",Rock Rose
54,"Não adianta tentar mais nada, é inútil",Gorse
55,"Não suporto gente que trabalha devagar",Impatiens
56,"Acabo fazendo o que os outros querem para evitar conflito",Centaury
57,"Minto dizendo que estou bem para não preocupar",Agrimony
58,"Faço chantagem emocional sem perceber",Chicory
59,"Sou dono da verdade e tento impor minha visão",Vervain
60,"Nunca sei se fiz a escolha certa",Scleranthus
61,"Tenho medo da morte e de morrer",Mimulus
62,"Sinto medo do escuro total e silêncio",Aspen
63,"Sinto um pânico gelado na espinha",Rock Rose
64,"Estou condenado a sofrer nesta vida",Gorse
65,"Como muito rápido, não mastigo direito",Impatiens
66,"Sou um mártir, me sacrifico por todos",Centaury
67,"Busco agitação e festas para não pensar na vida",Agrimony
68,"Cobro atenção porque eu dou muito amor",Chicory
69,"Estou sempre tenso tentando salvar o mundo",Vervain
70,"Oscilo entre alegria e tristeza rapidamente",Scleranthus
71,"Tenho medo de elevador e lugares fechados",Mimulus
72,"Sinto uma vibração ruim neste lugar",Aspen
73,"Meus cabelos ficam em pé de tanto terror",Rock Rose
74,"Aceitei que minha doença é crônica e sem cura",Gorse
75,"Termino as frases das pessoas porque elas demoram",Impatiens
76,"Sempre cedo para não magoar ninguém",Centaury
77,"Sou o pacificador, engulo sapos",Agrimony
78,"Manipulo situações para ter as pessoas perto",Chicory
79,"Falo com muita ênfase e gesticulo muito",Vervain
80,"Fico paralisado diante de duas opções",Scleranthus
81,"Tenho medo de agulha e injeção",Mimulus
82,"Tenho pesadelos que não lembro mas acordo mal",Aspen
83,"Fiquei petrificado de medo",Rock Rose
84,"Não há mais nada a fazer por mim",Gorse
85,"Ando sempre rápido, não gosto de passear",Impatiens
86,"Faço as tarefas dos meus colegas e me sobrecarrego",Centaury
87,"Roo as unhas para esconder o nervosismo",Agrimony
88,"Gosto de ter minha família sob minhas asas",Chicory
89,"Sou insistente demais com minhas ideias",Vervain
90,"Perco oportunidades por indecisão",Scleranthus
91,"Tenho medo de cachorro bravo na rua",Mimulus
92,"Sinto medo de assombração e vultos",Aspen
93,"Tive vontade de fugir de tanto pânico",Rock Rose
94,"Não vejo chance de sucesso em nada",Gorse
95,"Sou muito elétrica e agitada",Impatiens
96,"Esqueço de mim para cuidar dos outros",Centaury
97,"Faço piada dos meus problemas",Agrimony
98,"Me sinto abandonada se não me ligam",Chicory
99,"Fico revoltado com quem não entende minha visão",Vervain
100,"Minha mente é uma gangorra de decisões",Scleranthus
101,"Tenho receio de perder o controle financeiro",Mimulus
102,"Sinto uma ansiedade que não passa",Aspen
103,"Tenho pavor de notícias ruins repentinas",Rock Rose
104,"Acredito que meu destino é sofrer",Gorse
105,"Fico estressado no trânsito parado",Impatiens
106,"Não tenho coragem de pedir aumento",Centaury
107,"Sorrio mesmo querendo chorar",Agrimony
108,"Cuido de todos e esqueço de mim, quero gratidão",Chicory
109,"Não descanso enquanto não convenço todos",Vervain
110,"Fico balançando entre duas escolhas simples",Scleranthus
111,"Tenho medo de tempestades e raios",Mimulus
112,"Sinto um medo inexplicável ao acordar",Aspen
113,"Tive um ataque de pânico no mercado",Rock Rose
114,"Nada mais me dá esperança de melhora",Gorse
115,"Odeio quando o computador fica lento",Impatiens
116,"Faço tudo o que minha mãe manda, mesmo adulto",Centaury
117,"Busco diversão para esquecer as mágoas",Agrimony
118,"Sinto ciúmes excessivos dos meus amigos",Chicory
119,"Sou fanático por política e justiça",Vervain
120,"Não sei se vou na festa ou fico em casa",Scleranthus
121,"Tenho medo de dentista e dor",Mimulus
122,"Sinto que estou sendo observado mas não tem ninguém",Aspen
123,"Fiquei sem ar de tanto medo",Rock Rose
124,"Me conformei com a minha infelicidade",Gorse
125,"Não tenho paciência para explicações longas",Impatiens
126,"Sou capacho do meu chefe",Centaury
127,"Não gosto de preocupar os outros com meus problemas",Agrimony
128,"Faço chantagem se não fazem o que quero",Chicory
129,"Fico tenso tentando mudar a opinião dos outros",Vervain
130,"Mudo de ideia a cada 5 minutos",Scleranthus
131,"Tenho medo de ladrão entrar em casa",Mimulus
132,"Sinto um pressentimento de morte",Aspen
133,"Meus pesadelos são aterrorizantes",Rock Rose
134,"Não acredito em mais nenhum tratamento",Gorse
135,"Fico batendo os dedos na mesa de impaciência",Impatiens
136,"Não consigo impor limites nos meus filhos",Centaury
137,"Estou sempre brincando para disfarçar a tensão",Agrimony
138,"Me sinto rejeitado se não me dão atenção",Chicory
139,"Sou intenso demais em tudo que defendo",Vervain
140,"Fico paralisado na hora de escolher o almoço",Scleranthus
141,"Tenho medo de cobras e bichos",Mimulus
